PC,Explained_Variance_Ratio,Cumulative_Variance_Ratio,Eigenvalue
PC1,0.23150322028820022,0.23150322028820022,2.7780386434584026
PC2,0.15399199055427945,0.3854952108424797,1.8479038866513533
PC3,0.10666776626201724,0.4921629771044969,1.2800131951442069
PC4,0.08601857384101448,0.5781815509455114,1.0322228860921738
PC5,0.08167246478180075,0.6598540157273122,0.980069577381609
PC6,0.0744662096045556,0.7343202253318678,0.8935945152546673
PC7,0.060527335854558294,0.7948475611864261,0.7263280302546995
PC8,0.05902098757034204,0.8538685487567681,0.7082518508441045
PC9,0.05338309808280976,0.9072516468395778,0.6405971769937171
PC10,0.04473599374405265,0.9519876405836305,0.5368319249286317
PC11,0.024579273521846922,0.9765669141054775,0.29495128226216305
PC12,0.023433085894522396,0.9999999999999999,0.28119703073426877
