component,explained_variance_ratio,cumulative_explained_variance
PC1,0.03486369641581888,0.03486369641581888
PC2,0.034299553747368476,0.06916325016318736
PC3,0.0314070981109577,0.10057034827414507
PC4,0.026868779662227574,0.12743912793637263
PC5,0.025077579014110254,0.1525167069504829
PC6,0.023334257543035076,0.17585096449351797
PC7,0.02098004361755857,0.19683100811107654
PC8,0.020166244802532332,0.21699725291360888
PC9,0.017849773794091528,0.2348470267077004
PC10,0.017021875248775447,0.2518689019564759
PC11,0.016645719078861525,0.2685146210353374
PC12,0.016089112089186088,0.2846037331245235
PC13,0.014671010390342111,0.2992747435148656
PC14,0.014407767551521573,0.31368251106638717
PC15,0.013634130833998651,0.32731664190038584
PC16,0.012689418578095583,0.3400060604784814
PC17,0.01227485045285563,0.35228091093133707
PC18,0.011544737269677493,0.36382564820101454
PC19,0.0112674113301792,0.37509305953119376
PC20,0.011220415412274221,0.38631347494346796
PC21,0.010955643860915971,0.3972691188043839
PC22,0.010615647307482271,0.4078847661118662
PC23,0.010276870322508451,0.41816163643437465
PC24,0.010053795553113897,0.42821543198748857
PC25,0.009968635776500574,0.43818406776398916
PC26,0.009493866693187426,0.4476779344571766
PC27,0.009282754176156921,0.4569606886333335
PC28,0.009243245922480332,0.4662039345558138
PC29,0.009024915043075298,0.4752288495988891
PC30,0.008817446762643686,0.4840462963615328
PC31,0.008723214176694246,0.49276951053822704
PC32,0.008521879573811128,0.5012913901120382
