our_name,footballbert_player_id,match_type,match_score
aaron anselmino,ba010772,exact,100.0
aaron connolly,ba014514,exact,100.0
aaron cresswell,ba029322,exact,100.0
aaron escandell,ba038072,exact,100.0
aaron hickey,ba008561,exact,100.0
aaron hughes,ba081077,exact,100.0
aaron hunt,ba035272,exact,100.0
aaron lennon,ba017579,exact,100.0
aaron leya iseka,ba015337,exact,100.0
aaron martin,ba015729,exact,100.0
aaron mooy,ba026390,exact,100.0
aaron niguez,ba034468,exact,100.0
aaron ramsdale,ba025930,exact,100.0
aaron ramsey,ba082746,exact,100.0
aaron rowe,ba027741,exact,100.0
aaron seydel,ba049005,exact,100.0
aaron wan-bissaka,ba057964,exact,100.0
aaron wilbraham,ba056838,exact,100.0
aaron zehnter,ba037505,exact,100.0
abakar sylla,ba015276,exact,100.0
abdallah ndour,ba026236,fuzzy,96.55172729492188
abdallah sima,ba093110,exact,100.0
abdallahi mahmoud,ba062820,exact,100.0
abde ezzalzouli,ba069898,exact,100.0
abde rebbach,,unmatched,0.0
abdel abqar,ba015981,exact,100.0
abdelaziz barrada,ba050543,exact,100.0
abdeldjalil medioub,ba026928,fuzzy,94.7368392944336
abdelhamid ait boudlal,ba097188,exact,100.0
abdelhamid el kaoutari,ba026953,exact,100.0
abdelhamid sabiri,ba026568,exact,100.0
abdelkader ghezzal,ba053307,exact,100.0
abdon prats,ba076909,exact,100.0
abdou diallo,ba092613,exact,100.0
abdou harroui,ba037584,exact,100.0
abdou traore,ba068544,exact,100.0
abdoul ba,ba014138,exact,100.0
abdoul camara,ba002680,exact,100.0
abdoul kader bamba,ba018706,exact,100.0
abdoul kone,ba071037,exact,100.0
abdoul ouattara,ba037399,fuzzy,92.85713958740234
abdoul wahid sissoko,,unmatched,0.0
abdoulay konko,ba024883,exact,100.0
abdoulaye ba,ba011417,exact,100.0
abdoulaye bakayoko,ba087557,exact,100.0
abdoulaye bamba,ba046918,exact,100.0
abdoulaye dabo,ba044508,exact,100.0
abdoulaye diallo,ba013942,exact,100.0
abdoulaye doucoure,ba001000,exact,100.0
abdoulaye faye,ba095348,exact,100.0
abdoulaye keita,ba007772,exact,100.0
abdoulaye ndiaye,ba072632,fuzzy,90.32257843017578
abdoulaye sylla,ba015678,exact,100.0
abdoulaye toure,ba087878,exact,100.0
abdourahmane barry,ba052048,exact,100.0
abdu conte,ba076171,exact,100.0
abdukodir khusanov,ba076834,exact,100.0
abdul fatawu,,unmatched,0.0
abdul mumin,ba031143,exact,100.0
abdul rahman baba,,unmatched,0.0
abel aguilar,ba038716,exact,100.0
abel bretones,,unmatched,0.0
abel gomez,,unmatched,0.0
abel hernandez,ba059840,exact,100.0
abel ruiz,ba039960,exact,100.0
ablie jallow,ba010131,exact,100.0
abner,ba039691,exact,100.0
abou diaby,ba051497,exact,100.0
aboubacar ali abdallah,,unmatched,0.0
aboubacar lo,,unmatched,0.0
aboubaka soumahoro,ba097189,exact,100.0
aboubakar kamara,ba023662,exact,100.0
abraham gonzalez,ba038340,exact,100.0
abraham minero,ba075605,exact,100.0
abu francis,ba037929,fuzzy,100.0
abu kamara,ba061156,exact,100.0
accursio bentivegna,ba012103,exact,100.0
achraf dari,ba029610,exact,100.0
achraf hakimi,ba083711,exact,100.0
achraf lazaar,ba054799,exact,100.0
adalberto penaranda,ba027676,exact,100.0
adam armstrong,ba038563,exact,100.0
adam aznou,ba093968,exact,100.0
adam bodzek,ba068689,exact,100.0
adam bogdan,ba032070,exact,100.0
adam buksa,ba021916,exact,100.0
adam clayton,ba025664,exact,100.0
adam daghim,ba008738,exact,100.0
adam dzwigala,ba043228,fuzzy,92.30769348144531
adam federici,ba084362,exact,100.0
adam forshaw,ba058237,exact,100.0
adam hlousek,ba031288,exact,100.0
adam hlozek,ba031371,exact,100.0
adam idah,ba015015,exact,100.0
adam johnson,ba010082,exact,100.0
adam karabec,ba091021,exact,100.0
adam lallana,ba056234,exact,100.0
adam lang,ba049151,exact,100.0
adam marusic,ba077874,exact,100.0
adam masina,ba081527,exact,100.0
adam matuszczyk,ba087003,exact,100.0
adam nagy,ba044182,exact,100.0
adam obert,ba062299,exact,100.0
adam ounas,ba087191,exact,100.0
adam smith,ba011929,exact,100.0
adam szalai,ba030875,exact,100.0
adam webster,ba071865,exact,100.0
adam wharton,ba027705,exact,100.0
adama ba,ba012400,exact,100.0
adama boiro,ba093951,exact,100.0
adama camara,ba011588,exact,100.0
adama diakhaby,ba037348,exact,100.0
adama diomande,ba018886,exact,100.0
adama mbengue,ba067835,exact,100.0
adama niane,ba009775,exact,100.0
adama soumaoro,ba045136,exact,100.0
adama traore,ba005755,exact,100.0
adamo coulibaly,ba093655,exact,100.0
aday benitez,,unmatched,0.0
