feature,missing_before,missing_after_imputation,team_group,global_mean_used
Home_possession,12,0,home_team,True
Away_possession,12,0,away_team,True
Home_passing_accuracy,10326,0,home_team,True
Away_passing_accuracy,10326,0,away_team,True
Home_shots_on_target,1135,0,home_team,True
Away_shots_on_target,1142,0,away_team,True
Home_saves,641,0,home_team,True
Away_saves,306,0,away_team,True
Home_cards,0,0,home_team,True
Away_cards,0,0,away_team,True
Home_fouls,1114,0,home_team,True
Away_fouls,1115,0,away_team,True
Home_corners,12,0,home_team,True
Away_corners,12,0,away_team,True
Home_crosses,1114,0,home_team,True
Away_crosses,1114,0,away_team,True
Home_touches,10326,0,home_team,True
Away_touches,10326,0,away_team,True
Home_tackles,10326,0,home_team,True
Away_tackles,10326,0,away_team,True
Home_interceptions,1114,0,home_team,True
Away_interceptions,1114,0,away_team,True
Home_aerials_won,10326,0,home_team,True
Away_aerials_won,10326,0,away_team,True
Home_clearances,10326,0,home_team,True
Away_clearances,10326,0,away_team,True
Home_offsides,1225,0,home_team,True
Away_offsides,1213,0,away_team,True
Home_goal_kicks,10326,0,home_team,True
Away_goal_kicks,10326,0,away_team,True
Home_throw_ins,10326,0,home_team,True
Away_throw_ins,10326,0,away_team,True
Home_long_balls,9948,0,home_team,True
Away_long_balls,9948,0,away_team,True
Home_assists,10,0,home_team,True
Home_pens_made,10,0,home_team,True
Home_pens_att,10,0,home_team,True
Home_shots,1114,0,home_team,True
Home_cards_yellow,10,0,home_team,True
Home_cards_red,10,0,home_team,True
Home_fouled,1114,0,home_team,True
Home_tackles_won,1115,0,home_team,True
Home_own_goals,55,0,home_team,True
Home_pens_won,13029,0,home_team,True
Home_pens_conceded,13029,0,home_team,True
Away_assists,12,0,away_team,True
Away_pens_made,12,0,away_team,True
Away_pens_att,12,0,away_team,True
Away_shots,1116,0,away_team,True
Away_cards_yellow,12,0,away_team,True
Away_cards_red,12,0,away_team,True
Away_fouled,1116,0,away_team,True
Away_tackles_won,1117,0,away_team,True
Away_own_goals,57,0,away_team,True
Away_pens_won,13030,0,away_team,True
Away_pens_conceded,13030,0,away_team,True
Home_keeper_gk_shots_on_target_against,103,0,home_team,True
Home_keeper_gk_goals_against,32,0,home_team,True
Home_keeper_gk_saves,1194,0,home_team,True
Home_keeper_gk_save_pct,752,0,home_team,True
Away_keeper_gk_shots_on_target_against,99,0,away_team,True
Away_keeper_gk_goals_against,35,0,away_team,True
Away_keeper_gk_saves,1187,0,away_team,True
Away_keeper_gk_save_pct,417,0,away_team,True
game_id,19474,19474,away_team,False
