component,explained_variance_ratio,cumulative_explained_variance
PC1,0.12425670840642261,0.12425670840642261
PC2,0.06953123231378637,0.193787940720209
PC3,0.0610301467129577,0.2548180874331667
PC4,0.057692450657060634,0.31251053809022733
PC5,0.045919611234723795,0.3584301493249511
PC6,0.04217190626598883,0.4006020555909399
PC7,0.03962629175340633,0.44022834734434624
PC8,0.03871679237334707,0.4789451397176933
PC9,0.03532260801068534,0.5142677477283787
PC10,0.035102240668282714,0.5493699883966614
PC11,0.030444888045717187,0.5798148764423786
PC12,0.0236756754199517,0.6034905518623304
PC13,0.021031975388136892,0.6245225272504673
PC14,0.019225653896690915,0.6437481811471583
PC15,0.018003593609825324,0.6617517747569835
PC16,0.01751676186468293,0.6792685366216665
PC17,0.0162687009390062,0.6955372375606728
PC18,0.01611041778510481,0.7116476553457776
PC19,0.0159021517524477,0.7275498070982253
PC20,0.015714449153588248,0.7432642562518135
PC21,0.015532172053526095,0.7587964283053396
PC22,0.015427155576872945,0.7742235838822125
PC23,0.015158272263590877,0.7893818561458034
PC24,0.014563375307332246,0.8039452314531356
PC25,0.014219743104130246,0.8181649745572658
PC26,0.013489978881219404,0.8316549534384852
PC27,0.012451977389540694,0.8441069308280259
PC28,0.012236463273033146,0.8563433941010591
PC29,0.011232455519093661,0.8675758496201528
PC30,0.009688685924521158,0.877264535544674
PC31,0.009216910820152406,0.8864814463648264
PC32,0.009071422996307619,0.895552869361134
PC33,0.008932961497377646,0.9044858308585116
PC34,0.008621383747629493,0.9131072146061411
PC35,0.00804426892376582,0.921151483529907
PC36,0.006515515222664728,0.9276669987525716
PC37,0.006408108963562844,0.9340751077161344
PC38,0.006210790200973457,0.9402858979171079
PC39,0.005950697810356784,0.9462365957274647
PC40,0.005723965214910643,0.9519605609423754
