,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12
HS,0.4557433393096385,-0.15030951379452964,0.3779749169934791,-0.025027872600146533,-0.1149662049528064,-0.030428488075928146,0.09980384983748507,0.08091582044057964,-0.0038436872380056774,0.03745299471692266,0.5554219966241944,0.5344634990043625
AS,-0.4437284766072226,-0.21288401076188973,0.3626467990692649,0.07051590904724156,-0.10628384474703562,0.032273160360336076,-0.11402026708665113,0.07324390618501819,-0.01226277952966154,-0.021465061306552177,0.5598561532224,-0.5258774592550489
HST,0.37549222968670526,-0.15567464923656446,0.41284665331128007,-0.0015078153047818066,-0.15720391675058185,0.09114296356468275,0.4395163283233765,0.2805558004127789,-0.19715728606479127,0.04371486449832943,-0.39371250938126134,-0.4045102721138687
AST,-0.3625194683673786,-0.19524940398197194,0.4393300640341897,0.044368653511123644,-0.13372289475712199,-0.06048222194575831,-0.440676938144472,0.21764075618291406,-0.18894795186388139,-0.0016304854673928019,-0.42114020744552916,0.39913805516260425
HC,0.37036256943454526,-0.0884847038529767,0.2566109017865914,-0.09082119298818635,-0.06949242203127991,-0.24113980849085945,-0.44547896794782205,-0.36009675842507033,0.5454488761019545,-0.09097125593728225,-0.15774609147337101,-0.24316972435043785
AC,-0.3585603096927081,-0.1597071740801978,0.19673209820374318,0.13275968758403714,-0.06785054726841422,0.2533011982965957,0.5214826729431131,-0.32800723367129786,0.5162352643108975,-0.038757925926597506,-0.13987149884979166,0.23181089550506676
HF,-0.09415573837209781,0.43602427051487247,0.04644385785998432,-0.48746036853800695,-0.2840309635227248,0.09768114232472765,0.0337772193459638,0.40393149305556103,0.2742641435656372,-0.47935791848256054,0.030753923350844398,0.027847907136856573
AF,0.012339165196892243,0.44955301706847184,0.02924338979702762,0.5357604488748239,-0.19799617974724043,-0.08767500138497755,-0.05326842766324762,0.3600312928102107,0.34382155146787075,0.46026230488244424,0.013906807251174982,-0.01605918221594546
HY,-0.12305022562266167,0.4148399378339047,0.2561903711490695,-0.4717748367297774,-0.15800867845934874,-0.03357236985328082,0.061713116510537555,-0.4021767930055944,-0.21208524120093075,0.5365446149426562,-7.801021595225823e-05,-0.007256555567916332
AY,0.050974704586328544,0.4519108046440366,0.22779305532792363,0.4652927644394888,-0.12000849840699251,-0.009828305921024889,0.014097782185368125,-0.3866380995373785,-0.33602951577978035,-0.497604514815657,0.008500787481041064,-0.0025331110172039234
HR,-0.1342496790329579,0.1633423775789071,0.2688892748888608,-0.05275281675840713,0.6440003390202199,-0.6128368770226993,0.2453905560611307,0.13189748710320426,0.07386651861725178,-0.08046410459865315,-0.00602154537178026,0.018056833189359862
AR,0.11168718268955342,0.20293653259905536,0.2545181551470906,-0.006932181395592277,0.5911661731742719,0.6853730794756394,-0.22598652031407915,0.05775085028079089,0.06680474910480357,0.05342918504477552,0.0018115897432595888,-0.023991371344815722
