feature,mean,scale
HS,13.585916145471392,5.252674703942308
AS,11.106833449154506,4.67026058077536
HST,4.8299745193421355,2.5947864416170208
AST,3.969052582812138,2.3278965793992863
HC,5.433912439193884,2.953378579804869
AC,4.408941394486912,2.6020899487718285
HF,12.368264998841788,4.038657659166101
AF,12.680843178132962,4.161697729237082
HY,1.9182765809589992,1.3547134557108982
AY,2.158952976604123,1.3973341098865235
HR,0.0916377113736391,0.30763134522263896
AR,0.10942784340977531,0.3310459927768594
