team_name,team_code,type
1. Fußballclub Heidenheim 1846,HDH,home
AC Ajaccio,ACA,home
AC Carpi,CAR,home
AC Milan,ACM,home
AC Monza,MON,home
AFC Bournemouth,BOU,home
AJ Auxerre,AJA,home
AS Monaco,ASM,home
AS Nancy-Lorraine,NAN,home
AS Saint-Étienne,STE,home
Amiens SC,AMI,home
Arminia Bielefeld,DSC,home
Arsenal FC,ARS,home
Associazione Sportiva Roma,ROM,home
Aston Villa,AVL,home
Bayern Munich,FCB,home
Benevento Calcio,BEN,home
Bologna Football Club 1909,BOL,home
Borussia Dortmund,BVB,home
Brentford FC,BRE,home
Brescia Calcio,BRE,home
Brighton & Hove Albion,BHA,home
Burnley FC,BUR,home
CD Leganés,LEG,home
Cagliari Calcio,CAG,home
Cardiff City,CAR,home
Cesena FC,CES,home
Chelsea FC,CHE,home
Chievo Verona,CHI,home
Clermont Foot 63,CLE,home
Coventry City,COV,home
Crystal Palace,CRY,home
Cádiz CF,CAD,home
Córdoba CF,COR,home
Delfino Pescara 1936,PES,home
Deportivo de La Coruña,DEP,home
Dijon FCO,DIJ,home
EA Guingamp,GUI,home
ESTAC Troyes,TRO,home
Eintracht Frankfurt,SGE,home
Elche CF,ELC,home
Everton FC,EVE,home
FC Augsburg,FCA,home
FC Barcelona,FCB,home
FC Crotone,CRO,home
FC Empoli,EMP,home
FC Girondins Bordeaux,BOR,home
FC Ingolstadt 04,ING,home
FC Lorient,LOR,home
FC Metz,MET,home
FC Nantes,NAN,home
FC Schalke 04,S04,home
FC St. Pauli,STP,home
FC Toulouse,TFC,home
Fortuna Düsseldorf,F95,home
Frosinone Calcio,FRO,home
Fulham FC,FUL,home
Fußballclub Red Bull Salzburg,RBS,home
GFC Ajaccio,GFCA,home
Getafe CF,GET,home
Girona FC,GIR,home
Granada CF,GCF,home
Hamburger SV,HSV,home
Hannover 96,H96,home
Hellas Verona,VER,home
Hertha BSC,BSC,home
Holstein Kiel,KSV,home
Huddersfield Town,HUD,home
Hull City,HUL,home
Inter Milan,INT,home
Ipswich Town,IPS,home
Juventus FC,JUV,home
Karlsruher SC,KSC,home
Leeds United,LEE,home
Leicester City,LEI,home
Liverpool FC,LIV,home
Luton Town,LUT,home
Manchester City,MCI,home
Manchester United,MUN,home
Middlesbrough FC,MID,home
Montpellier HSC,MHSC,home
Málaga CF,MAL,home
Newcastle United,NEW,home
Norwich City,NOR,home
Nottingham Forest,NFO,home
Nîmes Olympique,NIM,home
Palermo FC,PAL,home
Paris FC,PFC,home
Paris Saint-Germain,PSG,home
Parma Calcio 1913,PAR,home
Pisa Sporting Club,PIS,home
Queens Park Rangers,QPR,home
RB Leipzig,RBL,home
Racing Santander,RSA,home
Rayo Vallecano,RAY,home
Real Madrid,RMA,home
Real Oviedo,OVI,home
Real Sociedad,RSO,home
Real Valladolid CF,VLD,home
SC Bastia,BAS,home
SC Freiburg,SCF,home
SC Paderborn 07,SCP,home
SD Eibar,EIB,home
SD Huesca,HUE,home
SM Caen,CAE,home
SPAL,SPA,home
SV 07 Elversberg,ELV,home
SV Darmstadt 98,D98,home
Sevilla FC,SEV,home
Sheffield United,SHU,home
Società Sportiva Lazio S.p.A.,LAZ,home
Southampton FC,SOU,home
SpVgg Greuther Fürth,SGF,home
Spezia Calcio,SPE,home
Sporting Gijón,GIJ,home
Stade Brestois 29,SB29,home
Stade Reims,REI,home
Stoke City,STK,home
Swansea City,SWA,home
Thonon Évian Grand Genève FC,EVI,home
Torino FC,TOR,home
Tottenham Hotspur,TOT,home
UC Sampdoria,SAM,home
UD Almería,ALM,home
UD Las Palmas,LPA,home
US Salernitana 1919,SAL,home
Udinese Calcio,UDI,home
Valencia CF,VAL,home
Venezia FC,VEN,home
VfB Stuttgart,VFB,home
VfL Bochum,BOC,home
Villarreal CF,VIL,home
Watford FC,WAT,home
West Bromwich Albion,WBA,home
Wolverhampton Wanderers,WOL,home
