team_name,occurrences_home,occurrences_away,total_occurrences
The Celtic Football Club,357,356,713
Sport Lisboa e Benfica,350,339,689
AFC Ajax Amsterdam,333,347,680
Eindhovense Voetbalvereniging Philips Sport Vereniging,330,334,664
Futebol Clube do Porto,333,330,663
Olympiakos Syndesmos Filathlon Peiraios,329,332,661
Alkmaar Zaanstreek,334,323,657
Sporting Clube de Braga,326,324,650
Panthessalonikios Athlitikos Omilos Konstantinoupoliton,322,325,647
Sporting Clube de Portugal,325,315,640
Feyenoord Rotterdam,320,309,629
Fenerbahçe Spor Kulübü,313,313,626
AO FK Zenit Sankt-Peterburg,298,303,601
Galatasaray Spor Kulübü,298,299,597
Beşiktaş Jimnastik Kulübü,295,295,590
Football Club København,287,302,589
Aberdeen Football Club,292,295,587
FC Shakhtar Donetsk,288,294,582
Futbolniy Klub Dynamo Kyiv,278,295,573
Club Brugge Koninklijke Voetbalvereniging,288,284,572
PFK CSKA Moskva,281,289,570
Panathinaikos Athlitikos Omilos,282,286,568
FK Krasnodar,275,283,558
Trabzonspor Kulübü,277,277,554
Vitória Sport Clube,274,277,551
Koninklijke Atletiek Associatie Gent,273,271,544
"Футбольный клуб ""Локомотив"" Москва",265,272,537
FK Spartak Moskva,263,272,535
Royal Sporting Club Anderlecht,270,265,535
Fodbold Club Midtjylland,255,278,533
Football Club Utrecht,257,276,533
Koninklijke Racing Club Genk,263,265,528
İstanbul Başakşehir Futbol Kulübü,264,264,528
Motherwell Football Club,263,263,526
Sportclub Heerenveen,255,261,516
Football Club Twente,252,254,506
Rangers Football Club,257,247,504
FK Rostov,248,255,503
St. Johnstone FC,251,249,500
Rio Ave Futebol Clube,248,250,498
A.G.S Asteras Tripolis,244,251,495
Kasımpaşa A.Ş.,247,247,494
Kilmarnock Football Club,247,244,491
Athlitiki Enosi Konstantinoupoleos,244,245,489
Royal Standard Club de Liège,244,243,487
Heart of Midlothian Football Club,243,238,481
APS Atromitos Athinon,236,244,480
Football Club Groningen,236,242,478
Prins Hendrik Ende Desespereert Nimmer Combinatie Zwolle,235,242,477
RFK Akhmat Grozny,234,242,476
Konyaspor,238,238,476
Heracles Almelo,238,237,475
Vitesse Arnhem,233,242,475
FK Dinamo Moskva,228,246,474
